¸ËËþÇø¼ä	¾àÀëÐ¡ºÅ¸ËËþ¾àÀë	x	y	z	Î£ÏÕµãÀàÐÍ	Ë®Æ½¾àÀë	´¹Ö±¾àÀë	¾»¿Õ¾àÀë	
13-14	114.36	452560.50	2873240.00	1770.18	Ê÷Ä¾	4.47	1.20	4.62	
13-14	114.15	452559.63	2873239.50	1767.70	Ê÷Ä¾	3.51	3.68	5.09	
13-14	114.29	452559.84	2873239.50	1768.01	Ê÷Ä¾	3.65	3.37	4.97	
13-14	114.09	452560.09	2873240.00	1768.22	Ê÷Ä¾	4.20	3.16	5.25	
13-14	114.17	452559.94	2873239.75	1769.30	Ê÷Ä¾	3.91	2.08	4.42	
13-14	114.25	452560.06	2873239.75	1769.86	Ê÷Ä¾	3.99	1.52	4.27	
13-14	114.00	452559.41	2873239.50	1767.46	Ê÷Ä¾	3.38	3.92	5.18	
13-14	114.07	452559.78	2873239.75	1769.38	Ê÷Ä¾	3.81	2.00	4.30	
13-14	116.00	452558.75	2873236.25	1765.27	µØÃæ	0.91	6.02	6.09	
13-14	115.96	452559.25	2873236.75	1765.53	µØÃæ	1.49	5.76	5.95	
13-14	115.91	452559.47	2873237.00	1765.73	µØÃæ	1.79	5.56	5.84	
13-14	115.83	452558.50	2873236.25	1765.40	µØÃæ	0.66	5.89	5.93	
13-14	115.73	452558.91	2873236.75	1765.26	µØÃæ	1.17	6.03	6.14	
13-14	115.67	452558.25	2873236.25	1765.21	µØÃæ	0.41	6.08	6.09	
13-14	115.50	452559.13	2873237.25	1765.85	µØÃæ	1.63	5.44	5.68	
13-14	115.48	452558.53	2873236.75	1765.44	µØÃæ	0.85	5.85	5.91	
13-14	115.44	452558.75	2873237.00	1765.53	µØÃæ	1.18	5.76	5.88	
13-14	115.33	452559.16	2873237.50	1765.91	µØÃæ	1.81	5.38	5.68	
13-14	115.23	452557.59	2873236.25	1764.80	µØÃæ	0.25	6.49	6.49	
13-14	115.23	452558.44	2873237.00	1765.14	µØÃæ	0.96	6.15	6.22	
13-14	115.17	452558.63	2873237.25	1765.41	µØÃæ	1.27	5.88	6.02	
13-14	115.17	452558.91	2873237.50	1765.75	µØÃæ	1.64	5.54	5.78	
13-14	115.93	452560.63	2873238.00	1767.62	Ê÷Ä¾	3.29	3.67	4.93	
13-14	115.87	452560.81	2873238.25	1768.02	Ê÷Ä¾	3.58	3.27	4.85	
13-14	115.93	452561.19	2873238.50	1767.98	Ê÷Ä¾	4.03	3.31	5.22	
13-14	116.00	452561.28	2873238.50	1769.78	Ê÷Ä¾	4.11	1.51	4.38	
13-14	115.60	452560.13	2873238.00	1767.62	Ê÷Ä¾	2.88	3.67	4.66	
13-14	115.71	452560.28	2873238.00	1768.08	Ê÷Ä¾	3.00	3.21	4.39	
13-14	115.58	452560.66	2873238.50	1768.02	Ê÷Ä¾	3.60	3.27	4.86	
13-14	115.56	452560.91	2873238.75	1768.03	Ê÷Ä¾	3.95	3.26	5.12	
13-14	115.73	452560.59	2873238.25	1769.50	Ê÷Ä¾	3.40	1.79	3.84	
13-14	115.73	452560.88	2873238.50	1769.56	Ê÷Ä¾	3.78	1.73	4.15	
13-14	115.64	452561.31	2873239.00	1769.27	Ê÷Ä¾	4.43	2.02	4.87	
13-14	115.60	452560.13	2873238.00	1767.75	Ê÷Ä¾	2.88	3.54	4.56	
13-14	115.46	452560.47	2873238.50	1767.82	Ê÷Ä¾	3.46	3.47	4.90	
13-14	115.42	452560.69	2873238.75	1768.09	Ê÷Ä¾	3.79	3.20	4.96	
13-14	115.50	452561.09	2873239.00	1767.80	Ê÷Ä¾	4.26	3.49	5.51	
13-14	115.60	452560.69	2873238.50	1769.45	Ê÷Ä¾	3.63	1.84	4.07	
13-14	115.69	452560.81	2873238.50	1770.01	Ê÷Ä¾	3.73	1.28	3.94	
13-14	115.39	452560.09	2873238.25	1767.92	Ê÷Ä¾	3.01	3.37	4.52	
13-14	115.35	452560.31	2873238.50	1768.29	Ê÷Ä¾	3.34	3.00	4.49	
13-14	115.19	452560.63	2873239.00	1768.19	Ê÷Ä¾	3.91	3.10	4.99	
13-14	115.33	452560.56	2873238.75	1769.23	Ê÷Ä¾	3.69	2.06	4.23	
13-14	115.42	452560.69	2873238.75	1769.76	Ê÷Ä¾	3.79	1.53	4.08	
13-14	115.35	452560.88	2873239.00	1770.19	Ê÷Ä¾	4.09	1.10	4.24	
13-14	115.06	452560.44	2873239.00	1767.82	Ê÷Ä¾	3.78	3.47	5.13	
13-14	115.10	452560.22	2873238.75	1769.40	Ê÷Ä¾	3.45	1.89	3.93	
13-14	115.08	452560.47	2873239.00	1769.58	Ê÷Ä¾	3.80	1.71	4.17	
13-14	115.93	452560.63	2873238.00	1767.62	Ê÷Ä¾	3.29	3.67	4.93	
13-14	115.87	452560.81	2873238.25	1768.02	Ê÷Ä¾	3.58	3.27	4.85	
13-14	115.93	452561.19	2873238.50	1767.98	Ê÷Ä¾	4.03	3.31	5.22	
13-14	116.00	452561.28	2873238.50	1769.78	Ê÷Ä¾	4.11	1.51	4.38	
13-14	115.60	452560.13	2873238.00	1767.62	Ê÷Ä¾	2.88	3.67	4.66	
13-14	115.71	452560.28	2873238.00	1768.08	Ê÷Ä¾	3.00	3.21	4.39	
13-14	115.58	452560.66	2873238.50	1768.02	Ê÷Ä¾	3.60	3.27	4.86	
13-14	115.56	452560.91	2873238.75	1768.03	Ê÷Ä¾	3.95	3.26	5.12	
13-14	115.73	452560.59	2873238.25	1769.50	Ê÷Ä¾	3.40	1.79	3.84	
13-14	115.73	452560.88	2873238.50	1769.56	Ê÷Ä¾	3.78	1.73	4.15	
13-14	115.64	452561.31	2873239.00	1769.27	Ê÷Ä¾	4.43	2.02	4.87	
13-14	115.60	452560.13	2873238.00	1767.75	Ê÷Ä¾	2.88	3.54	4.56	
13-14	115.46	452560.47	2873238.50	1767.82	Ê÷Ä¾	3.46	3.47	4.90	
13-14	115.42	452560.69	2873238.75	1768.09	Ê÷Ä¾	3.79	3.20	4.96	
13-14	115.50	452561.09	2873239.00	1767.80	Ê÷Ä¾	4.26	3.49	5.51	
13-14	115.60	452560.69	2873238.50	1769.45	Ê÷Ä¾	3.63	1.84	4.07	
13-14	115.69	452560.81	2873238.50	1770.01	Ê÷Ä¾	3.73	1.28	3.94	
13-14	115.39	452560.09	2873238.25	1767.92	Ê÷Ä¾	3.01	3.37	4.52	
13-14	115.35	452560.31	2873238.50	1768.29	Ê÷Ä¾	3.34	3.00	4.49	
13-14	115.19	452560.63	2873239.00	1768.19	Ê÷Ä¾	3.91	3.10	4.99	
13-14	115.33	452560.56	2873238.75	1769.23	Ê÷Ä¾	3.69	2.06	4.23	
13-14	115.42	452560.69	2873238.75	1769.76	Ê÷Ä¾	3.79	1.53	4.08	
13-14	115.35	452560.88	2873239.00	1770.19	Ê÷Ä¾	4.09	1.10	4.24	
13-14	115.06	452560.44	2873239.00	1767.82	Ê÷Ä¾	3.78	3.47	5.13	
13-14	115.10	452560.22	2873238.75	1769.40	Ê÷Ä¾	3.45	1.89	3.93	
13-14	115.08	452560.47	2873239.00	1769.58	Ê÷Ä¾	3.80	1.71	4.17	
13-14	116.74	452559.03	2873235.50	1764.96	µØÃæ	0.43	6.18	6.19	
13-14	116.74	452559.59	2873236.00	1765.84	µØÃæ	1.18	5.30	5.43	
13-14	116.60	452559.38	2873236.00	1765.41	µØÃæ	1.02	5.73	5.82	
13-14	116.56	452559.59	2873236.25	1765.72	µØÃæ	1.35	5.42	5.59	
13-14	116.27	452559.16	2873236.25	1765.46	µØÃæ	1.10	5.68	5.79	
13-14	116.23	452559.38	2873236.50	1765.51	µØÃæ	1.43	5.63	5.81	
13-14	116.20	452559.63	2873236.75	1765.74	µØÃæ	1.77	5.40	5.68	
13-14	116.06	452559.13	2873236.50	1765.16	µØÃæ	1.32	5.98	6.12	
13-14	116.99	452561.38	2873237.25	1767.39	Ê÷Ä¾	3.35	3.75	5.03	
13-14	116.91	452561.81	2873237.75	1767.57	Ê÷Ä¾	4.00	3.57	5.36	
13-14	116.95	452561.88	2873237.75	1768.26	Ê÷Ä¾	4.05	2.88	4.97	
13-14	116.97	452562.19	2873238.00	1768.51	Ê÷Ä¾	4.45	2.63	5.17	
13-14	116.93	452561.28	2873237.25	1767.17	Ê÷Ä¾	3.28	3.97	5.15	
13-14	116.79	452561.63	2873237.75	1767.44	Ê÷Ä¾	3.86	3.70	5.35	
13-14	116.87	452561.75	2873237.75	1768.13	Ê÷Ä¾	3.95	3.01	4.97	
13-14	116.79	452561.91	2873238.00	1768.59	Ê÷Ä¾	4.23	2.55	4.94	
13-14	116.93	452562.13	2873238.00	1768.93	Ê÷Ä¾	4.40	2.21	4.93	
13-14	116.58	452561.03	2873237.50	1767.71	Ê÷Ä¾	3.25	3.43	4.72	
13-14	116.43	452561.38	2873238.00	1767.72	Ê÷Ä¾	3.85	3.42	5.15	
13-14	116.58	452561.59	2873238.00	1768.18	Ê÷Ä¾	4.00	2.96	4.98	
13-14	116.43	452561.09	2873237.75	1767.79	Ê÷Ä¾	3.47	3.35	4.82	
13-14	116.41	452561.34	2873238.00	1768.11	Ê÷Ä¾	3.82	3.03	4.88	
13-14	116.27	452561.69	2873238.50	1768.16	Ê÷Ä¾	4.42	2.98	5.33	
13-14	116.33	452561.78	2873238.50	1769.70	Ê÷Ä¾	4.49	1.44	4.71	
13-14	116.18	452560.72	2873237.75	1767.58	Ê÷Ä¾	3.22	3.56	4.80	
13-14	116.18	452561.00	2873238.00	1767.84	Ê÷Ä¾	3.59	3.30	4.88	
13-14	116.04	452561.34	2873238.50	1768.01	Ê÷Ä¾	4.20	3.13	5.24	
13-14	116.06	452561.66	2873238.75	1768.22	Ê÷Ä¾	4.45	2.92	5.32	
13-14	116.20	452561.31	2873238.25	1769.76	Ê÷Ä¾	3.99	1.38	4.22	
13-14	116.99	452561.38	2873237.25	1767.39	Ê÷Ä¾	3.35	3.75	5.03	
13-14	116.91	452561.81	2873237.75	1767.57	Ê÷Ä¾	4.00	3.57	5.36	
13-14	116.95	452561.88	2873237.75	1768.26	Ê÷Ä¾	4.05	2.88	4.97	
13-14	116.97	452562.19	2873238.00	1768.51	Ê÷Ä¾	4.45	2.63	5.17	
13-14	116.93	452561.28	2873237.25	1767.17	Ê÷Ä¾	3.28	3.97	5.15	
13-14	116.79	452561.63	2873237.75	1767.44	Ê÷Ä¾	3.86	3.70	5.35	
